传感器型号,LVDT,版本日期,2020/4/7,版本号,V1.0.0
,,,,,
序号,功能码(Hex),消息ID(Hex),描述,数据(Hex),数据含义
1,04,0002,温度高16位,d1<128,(d1*256+d0)/10\(d1*256+d0-65536)/10
2,04,0003,温度低16位,,
3,04,0004,位移高16位,d3<128,d3*16777216+d2*65536+d1*256+d0\(d3-128)*16777216+d2*65536+d1*256+d0-2147483648
4,04,0005,位移低16位,,
5,03/10,0030,传感器地址,,
6,03/10,0031,波特率,,
7,03/10,0032,奇偶校验,,
8,03/10,0034,补偿开关,,
9,03/10,003F,位移和温度采样频率,,
10,03/10,0060,输出模式,,
11,05,0050,逻辑清零/取消清零,,
12,05,0051,数据备份/恢复出厂设置,,
13,25,0040,系统升级标志,,
14,25,0088,位移标定清除/失能/使能,,
15,25,0089,设定位移零点/满量程,,
16,25,009A,温度标定/清零,,
17,25,009B,设定温度零点/满量程,,
18,25,00CD,补偿标定/清除,,
19,26/27,0080,位移量程高16位,,
20,26/27,0081,位移量程低16位,,
21,26/27,0082,位移物理零点高16位,,
22,26/27,0083,位移物理零点低16位,,
23,26/27,0084,位移满量程高16位,,
24,26/27,0085,位移满量程低16位,,
25,26/27,0086,位移逻辑零点高16位,,
26,26/27,0087,位移逻辑零点低16位,,
27,26/27,0090,温度K值高16位,,
28,26/27,0091,温度K值低16位,,
29,26/27,0092,温度B值高16位,,
30,26/27,0093,温度B值低16位,,
31,26/27,0094,温度量程高16位,,
32,26/27,0095,温度量程低16位,,
33,26/27,0096,温度物理零点高16位,,
34,26/27,0097,温度物理零点低16位,,
35,26/27,0098,温度满量程高16位,,
36,26/27,0099,温度满量程低16位,,
37,26/27,00F0,内测数据位移数字量,,
38,26/27,00F1,内测数据位移电压值,,
39,26/27,00F2,内测数据温度数字量,,
40,26/27,00F3,内测数据温度电压值,,
41,26/27,00F4,内测数据DAC数字量,,
42,26/27,00F5,内测数据DAC电压值,,
43,2B/2A,00E0,738830676,,
44,2B/2A,00E1,产品代码,,
45,2B/2A,00E2,硬件版本,,
46,2B/2A,00E3,软件版本,,
47,2B/2A,00E4,设备ID,,
48,2B/2A,00E5,客户代码,,
49,41,0001,开始升级,,
50,41,0002,清除源程序,,
51,41,0003,传输文件包,,
52,41,0004,执行新程序,,
